CityName,CityType,CityId
Sleeper,Business,25b647a9-5a9b-4d0e-ab11-bcb2ed8f1fbd
Arnoldsville,Leisure,13f09300-0aab-4a39-8869-00b327da11c8
East Hampton,Leisure,a813dd87-206b-4179-8b43-dc601035dac3
Cleo,Leisure,b7a70d27-f1e0-4b64-aee4-d3c13ac764db
Pennville,Leisure,0ee62ade-064f-4d50-a157-2401f45652ff
Sullivan's Island,Leisure,f899a266-08d4-4210-b177-a39743966629
Sachse,Leisure,88251ed6-f779-4d7c-8ff1-c2f1ecc9087c
Camden-on-Gauley,Leisure,078d2d69-4da4-4790-8502-6f90490d968b
Norris,Leisure,82b6d3ef-7240-4108-b435-3daf43da3b22
Barnum,Leisure,65ce894d-087f-4c76-832c-de856d7e88df
Crafton,Leisure,6916f78f-a9a8-4090-bdf8-317e09a0735a
Erhard,Leisure,06319b2d-5409-4aa9-8caf-1b76abd6c4d1
Valinda,Leisure,0b2040eb-d859-411b-970e-729bb866a944
Blawnox,Leisure,52fa32e9-c9cf-42e9-a9dc-0510613b6a37
Pigeon River,Leisure,d2ff3dc5-b8c3-436c-8b96-00b001a53fa9
Poston,Leisure,5a5bae9a-9cda-4acf-98a8-41bb1b0322d7
Edon,Business,0f32dfb9-ac69-4c9f-a1ee-65d2ddd8dcb1
Cerro Gordo,Leisure,02e42be2-bb18-4dec-9e40-e9739dde419c
Ozan,Business,18fcd0b8-4a56-48e9-bb57-cb1b7e2ced63
Grasston,Leisure,4e5e9b79-9be7-4058-a90e-98ef66906b34
Point Lookout,Leisure,3887f9c3-384e-4ccb-abc3-30b08e8b64cd
Groveland,Leisure,52eacdf7-06dd-4313-9e33-ab0983e9f0d6
Cape Pole,Leisure,2e23746c-f9a1-46dc-a414-0a243a9b6302
Arden Hills,Leisure,990a62b6-3823-46ff-9e9c-00619b9d5ad6
Freeville,Business,72d6670a-4a4f-4be2-a722-89a4433acb49
Vergennes,Leisure,f7cbb539-da20-4b14-8abf-80385a36dd0d
Amenia,Leisure,4de800c9-9e3a-4117-9a0f-de2324ab6332
Lee Bayou,Leisure,07b2794e-c03a-478e-88f8-7a0d7f65f674
Pembine,Business,08d0c669-c344-465b-82dc-7a4b0722ea1b
Red River,Leisure,bb4ff884-0d22-4ae0-a73c-5ce40d3fd838
Tenafly,Leisure,7b1b2f80-e272-4927-b6ba-a797873cbd36
Trail City,Leisure,d928d29f-6b66-422d-9143-9be529187cc1
Power,Leisure,1cebad4a-dcaf-4ed0-a6b4-bc76e51c85ce
Saint Rose,Business,c12ea1a6-567c-42a6-becd-7462742a4578
Esperance,Business,66664cc7-e9d2-4eae-ac89-26437da8c194
Fairlawn,Business,cb12c0f3-7bd8-4084-904f-261263fecfb5
Sound Beach,Leisure,a75bd59d-5b99-4ff5-a30c-3c81f29e8e76
Shandon,Business,37b655e9-c0db-4a6e-9ecf-21ef50aacd00
Browns Lake,Leisure,d31970fb-aa18-4367-9efe-6bec69907312
Boydsville,Leisure,22c08068-c08a-4c19-b482-c22704ce4220
Elmwood,Leisure,60805a64-cf70-4efd-b44a-6be07553f92c
Lead Hill,Leisure,b309aaca-48d7-4733-a248-746b56fbe483
Port Alto,Leisure,f0879cd6-50e7-4a84-868e-ddb261d4d983
Burdett,Leisure,855c70fa-42a4-4787-9518-1b0e571b6348
Stone Park,Business,3a38e839-252f-4a5c-81df-f6e9ec52d90d
Linda,Business,f116147a-0c77-443f-960c-45411f1c2ddd
Poland,Leisure,8068bf60-2257-4db3-a7e0-bd53ca0bc3c9
Gough,Leisure,7ecf2f8e-c196-4a48-9d66-690d4b60596b
Ball Club,Leisure,70a9a274-3c9f-4f52-a0e9-73c516c77d9c
Flossmoor,Leisure,fc85c607-bbe1-4912-a10a-8bc1b2c7afa0
New Site,Leisure,d13aaf21-1bdb-46b0-978c-6198e198d050
Lafayette,Leisure,e8290fbf-d0a5-482c-9771-4942e705a5f7
Sabinoso,Leisure,714abc3a-c4cb-4210-a113-72b2b59cb19a
Lodoga,Leisure,cb769bbf-6e87-4a7d-9711-a7a36663d51b
Sagamore,Business,b22eaef3-a6b4-427e-ab90-7083dabcae47
Boicourt,Leisure,bfb24ca3-74b6-46a7-a371-5646cb343da4
Whitefish,Leisure,372d187b-9a6b-4be2-a684-544a2cf103d5
Antigo,Leisure,52bfa9ed-e972-45aa-b0fa-38eb287cf537
Hybart,Leisure,33abac3e-3491-49ef-88a6-db4b8377db83
Waite Park,Leisure,b961e93f-3477-4225-b2d6-e09b8966a355
Ector,Leisure,3403b50f-d5a5-459e-9f2b-60ce7f530799
Floral,Leisure,3c49b9e5-bb16-420e-8a77-5235e8410296
Eggleston,Business,3d0ed1ab-de25-47c0-8233-008d96d61f5c
Suring,Business,12dea8ff-9434-4885-a724-e2b31092e25e
Munhall,Business,dcc3b755-d97c-4cc2-9535-eff844f7fbbb
Zebina,Leisure,edda387f-e889-4503-89cb-76a2ac3dd12b
